,count
(ordfører for saken),4209
(komiteens leder),1722
(…),1613
(presidenten klubber),1434
(fra salen),1425
(Ny),713
(ordførar for saka),621
(Presidenten klubber.),561
(NY),490
(Munterhet i salen),426
(leiar i komiteen),348
(komiteens leder og ordfører for saken),328
(presidenten klubber igjen),263
(ordfører for sakene),151
"(Votering, se nedenfor)",150
(presidenten avbryter),138
(munterhet i salen),130
(presidenten klubbar),129
(Munterhet i salen.),120
(...),120
(frå salen),119
(1),118
(2),114
(leiar for komiteen),113
(2016–2017),105
(2020–2021),91
(2011–2012),90
(2019–2020),77
(A),75
(2015–2016),67
(1999-2000),64
(2012–2013),63
(2003-2004),60
(H),58
(Presidenten klubbar.),58
(leiar i komiteen og ordførar for saka),58
(Latter i salen),57
(2010–2011),56
(Presidenten klubber),55
(Presidenten klubber igjen.),54
(2002-2003),53
(2000-2001),51
(komiteens le\xadder og ordfører for saken),51
(Presidenten avbryter.),48
(2001-2002),48
(2017–2018),47
(2008–2009),46
(2014–2015),45
(2009–2010),43
(3),42
(bokmål og nynorsk),41
(2018–2019),41
(ordfører for sak nr. 2),39
(1998-99),38
(2007-2008),38
(EU),36
(forf.),35
(2006-2007),34
(ny),33
(ordfører for sak nr. 3),33
(Sp),31
(4),31
(skatteloven),29
(2007–2008),29
(AFP),28
(ODA),28
(jf. kap. 4320),27
(2021–2022),27
(SV),27
(2004-2005),26
(KrF),26
(5),26
(FrP),25
"(Votering, se \xadnedenfor)",25
(ordfører for sak nr. 4),24
(ordfører for sak nr. 1),23
(2005-2006),23
(arbeidsmiljøloven),23
(SPU),22
(1997-98),22
(Munterheit i salen),22
(komiteens leder og ordfører for sakene),21
"(Votering, se neste spalte)",20
(jf. kap. 3440),20
"(Votering, se side 4352)",20
(Applaus i salen),20
"(Votering, se side 4111)",19
(EF),19
(ordfører for sak nr. 5),19
(Frp),19
(Latter i salen.),18
(se under Referat),18
(Nytt),18
"(Votering, se side 5175)",18
"(Votering, se side 1229)",17
(ordførar for sakene),17
(presidenten klubbar igjen),17
(se nedenfor),16
(1998-1999),16
(sakens ordfører),16
(V),16
