,fornavn,etternavn,periode_liste
1,Aase Marthe J.,Horrigmo,{2021-2025}
3,Abel Cecilie Knibe,Kroglund,"{2021-2025,2017-2021}"
6,Astrid Aarhus,Byrknes,"{2021-2025,2013-2017,2009-2013}"
7,Adelheid Frost,Mykland,{2021-2025}
8,Adrian Wilhelm Kjølø,Tollefsen,{2021-2025}
9,Anette Carnarius,Elseth,"{2021-2025,2017-2021,2013-2017,2009-2013,2005-2009,2001-2005,1997-2001}"
10,Anne Grethe,Hauan,"{2021-2025,2017-2021}"
11,Agnete Masternes,Hanssen,{2021-2025}
12,Agnes Nærland,Viljugrein,{2021-2025}
13,Ahmed,Lindov,{2021-2025}
14,Aina,Stenersen,"{2021-2025,2013-2017,2009-2013}"
17,Alf Erik Bergstøl,Andersen,{2021-2025}
19,Alf Magne,Grindhaug,{2021-2025}
21,Alice Botnen,Akselsen,{2021-2025}
22,Aleksander Øren,Heen,"{2021-2025,2017-2021,2013-2017}"
24,Amalie,Gunnufsen,{2021-2025}
25,Amalie,Kollstrand,{2021-2025}
26,Andreas,Arff,{2021-2025}
27,Anders,Brabrand,{2021-2025}
28,Andrea Christina,Gonzalez,{2021-2025}
29,Andrine,Hanssen-Seppola,{2021-2025}
30,Anders,Mathisen,{2021-2025}
31,Andreas,Meeg-Bentzen,{2021-2025}
32,Andrea,Sjøvoll,{2021-2025}
33,Anders Braut,Ueland,{2021-2025}
34,Ane,Breivik,{2021-2025}
35,Anita,Patel,{2021-2025}
36,Anita Husøy,Riskedal,{2021-2025}
37,Anja,Hovland,{2021-2025}
38,Anette Kristine,Davidsen,"{2021-2025,2017-2021,2013-2017}"
39,Anne,Bjertnæs,{2021-2025}
40,Anne Kristin,Bruns,{2021-2025}
41,Anne Berit,Figenschau,{2021-2025}
42,Anne Marie,Fiksdal,{2021-2025}
44,Anne-Marte,Kolbjørnshus,{2021-2025}
45,Anne Kirstin,Korsfur,{2021-2025}
47,Anna Henriette,Straume,{2021-2025}
48,Anniken Heimdal,Tjøstheim,{2021-2025}
49,Anna Sofie Ekeland,Valvatne,"{2021-2025,2017-2021}"
50,Afshan,Rafiq,"{2021-2025,2013-2017,2009-2013,2005-2009,2001-2005}"
51,Aram,Karim,{2021-2025}
52,Are Bergli,Heier,{2021-2025}
53,Arild Kvernmo,Pedersen,{2021-2025}
54,Arild,Theimann,{2021-2025}
55,Arne Olav,Haabeth,{2021-2025}
56,Arne Reidar,Myrseth,{2021-2025}
57,Astrid,Gaassand,"{2021-2025,2017-2021,2013-2017}"
58,Åshild Charlotte,Pettersen,"{2021-2025,2017-2021}"
59,Assad,Nasir,{2021-2025}
60,Athar Ali,Tajik,{2021-2025}
63,Audun Hammer,Hovda,{2021-2025}
64,August Dybvad,Grøntvedt,{2021-2025}
65,Aud,Hove,"{2021-2025,2017-2021,2009-2013}"
66,Barham,Azadi,{2021-2025}
67,Beate,Husa,"{2021-2025,2017-2021,2013-2017}"
68,Beate Dybendal,Nordvik,{2021-2025}
69,Bente Irene,Aaland,{2021-2025}
70,Bent-Joacim,Bentzen,{2021-2025}
71,Bente,Bruun,{2021-2025}
72,Benjamin,Jakobsen,{2021-2025}
73,Bengt Halvard,Odden,{2021-2025}
74,Bergljot,Oldre,{2021-2025}
76,Berit,Tønnesen,{2021-2025}
78,Berit Olga,Flåmo,"{2021-2025,2013-2017}"
80,Birte,Usland,{2021-2025}
82,Bjørnar,Laabak,"{2021-2025,2017-2021,2009-2013}"
83,Bjørn Gunnar,Baas,{2021-2025}
84,Bjørn,Kahrs,{2021-2025}
86,Boye,Ullmann,{2021-2025}
87,Bård,Heio,{2021-2025}
89,Brita,Skallerud,{2021-2025}
91,Camilla Edith,Ahamath,{2021-2025}
92,Camilla Maria,Brekke,{2021-2025}
93,Caroline M. Grønli,Andersen,{2021-2025}
94,Carina,Thorvaldsen,{2021-2025}
95,Cathrine,Andersen,{2021-2025}
96,Cato Brunvand,Ellingsen,{2021-2025}
97,Cathrine,Linnes,{2021-2025}
98,Cathrine Palm,Spange,{2021-2025}
99,Cecilie,Agnalt,"{2021-2025,2017-2021}"
100,Cecilie Ingebjørg,Lerstang,{2021-2025}
101,Christian,Eikeland,"{2021-2025,2009-2013,2005-2009}"
102,Charlott,Pedersen,{2021-2025}
103,Charlotte,Therkelsen,{2021-2025}
104,Charlotte Jahren,Øverbye,{2021-2025}
105,Christian,Hetty,{2021-2025}
106,Christian,Torset,{2021-2025}
107,Charlotte,Spurkeland,"{2021-2025,2013-2017}"
109,Christine Bertheussen,Killie,"{2021-2025,2005-2009}"
110,Camilla Sørensen,Eidsvold,"{2021-2025,2017-2021}"
113,Dagny Cesilie Sunnanå,Hausken,{2021-2025}
114,Dagfinn Homdal,Svanøe,{2021-2025}
115,Dag,Willmann,{2021-2025}
117,Dina K. Korneliussen,Bovim,{2021-2025}
118,Dordi,Hammer,{2021-2025}
119,Dorthea,Elverum,{2021-2025}
122,Emilie,Schäffer,"{2021-2025,2017-2021,2009-2013}"
124,Egil Natvik,Vestrheim,{2021-2025}
126,Eilev,Bekjorden,"{2021-2025,2017-2021}"
127,Eirill,DeLonge,{2021-2025}
128,Eirik Losnegaard,Mevik,{2021-2025}
129,Eivind,Drivenes,{2021-2025}
130,Elisabeth Birkeland,Hatlenes,{2021-2025}
131,Elias Roko,Eide,{2021-2025}
132,Elisabeth,Holien,{2021-2025}
133,Elisabeth,Rye-Florentz,{2021-2025}
134,Eline,Stangeland,{2021-2025}
135,Eli,Wathne,"{2021-2025,2017-2021}"
