,name,id
0,Line Henriette Hjemdal (KrF),LHH
1,Statsråd Anne Enger Lahnstein,AEL
2,Statsråd Karita Bekkemellem Orheim,KBO
3,Line Henriette Hjemdal,LHH
4,Carl. I. Hagen (Frp),CIH
5,Statsråd Sponheim,LS
6,Kenneth Svendsen h,KES
7,Line Henriette Holten Hjemdal  (KrF)  ,LHH
8,Frank J. Jensen (H),FBJ
9,Gjermund Hagesæther (FrP),GJH
10,Presidenten: Jorunn Ringstad,JR
11,Nils. T. Bjørke,NITB
12,Nils. T. Bjørke,NITB
13,Hill- Marta Solberg (A),HMS
14,Hilde  Magnusson  Lydvo  (A)  ,HML
15,Line Henriette Hjemdal (Krf),LHH
16,Torbjørn Anderen (Frp),TOA
17,Anne Enger Lahnstein,AEL
18,Ola. T. Lånke,OTL
19,Ola. T. Lånke,OTL
20,Øivind Vaksdal (FrP),OVA
21,Øivind Vaksdal (FrP),OVA
22,Line Henriette Hjemdal ,LHH
23,Torbjørn Jagland (A),TJ
24,Hans-Andreas Limi,HLI
25,Hans-Andreas Limi,HLI
26,Statsråd Ketil Solvik Olsen,KETS
27,Statsråd Einar Dørum,ODD
28,Hans Kristian Hognes (H),HKH
29,Anna Ceselie Brustad (Sp),ANCB
30,Jostein Zazzera (Frp),ODZA
31,Statstråd Anne Enger Lahnstein,AEL
32,Geir Ketil Hansen,GEHN
33,Nils T.Bjørke,NITB
34,Statsråd Angelsen,PAN
35,Harald. T. Nesvik (FrP),HTN
36,Morten Vold,MOST
37,Statsråd Lisbeth Berg-Hansen,LIB
38,Statsråd Lisbeth Berg-Hansen,LIB
39,Statsråd Lisbeth Berg-Hansen,LIB
40,Statsråd Lisbeth Berg-Hansen,LIB
41,Statsråd Lisbeth Berg-Hansen,LIB
42,Statsråd Lisbeth Berg-Hansen,LIB
43,Statsråd Lisbeth Berg-Hansen,LIB
44,Statsråd Lisbeth Berg-Hansen,LIB
45,Statsråd Lisbeth Berg-Hansen,LIB
46,Heikki Eidsvoll Holmås (SV),HEH
47,Heikki Eidsvoll Holmås (SV),HEH
48,Heikki Eidsvoll Holmås (SV),HEH
49,Heikki Eidsvoll Holmås (SV),HEH
50,Heikki Eidsvoll Holmås (SV),HEH
51,Heikki Eidsvoll Holmås (SV),HEH
52,Heikki Eidsvoll Holmås (SV),HEH
53,Heikki Eidsvoll Holmås (SV),HEH
54,Heikki Eidsvoll Holmås (SV),HEH
55,Heikki Eidsvoll Holmås (SV),HEH
56,Heikki Eidsvoll Holmås (SV),HEH
57,Heikki Eidsvoll Holmås (SV),HEH
58,Heikki Eidsvoll Holmås (SV),HEH
59,Heikki Eidsvoll Holmås (SV),HEH
60,Heikki Eidsvoll Holmås (SV),HEH
61,Heikki Eidsvoll Holmås (SV),HEH
62,Heikki Eidsvoll Holmås (SV),HEH
63,Heikki Eidsvoll Holmås (SV),HEH
64,Heikki Eidsvoll Holmås (SV),HEH
65,Heikki Eidsvoll Holmås (SV),HEH
66,Heikki Eidsvoll Holmås (SV),HEH
67,Heikki Eidsvoll Holmås (SV),HEH
68,Heikki Eidsvoll Holmås (SV),HEH
69,Heikki Eidsvoll Holmås (SV),HEH
70,Heikki Eidsvoll Holmås (SV),HEH
71,Siri A. Meling (H),SME
72,Siri A. Meling (H),SME
73,Siri A. Meling (H),SME
74,Siri A. Meling (H),SME
75,Siri A. Meling (H),SME
76,Siri A. Meling (H),SME
77,Siri A. Meling (H),SME
78,Siri A. Meling (H),SME
79,Siri A. Meling (H),SME
80,Vidar Bjørnstad (A),VB
81,Vidar Bjørnstad (A),VB
