,name,id
0,Statsråd Lisbeth Berg-Hansen,LIB
1,Statsråd Lisbeth Berg-Hansen,LIB
2,Statsråd Lisbeth Berg-Hansen,LIB
3,Statsråd Lisbeth Berg-Hansen,LIB
4,Statsråd Lisbeth Berg-Hansen,LIB
5,Statsråd Lisbeth Berg-Hansen,LIB
6,Statsråd Lisbeth Berg-Hansen,LIB
7,Statsråd Lisbeth Berg-Hansen,LIB
8,Statsråd Lisbeth Berg-Hansen,LIB
9,Heikki Eidsvoll Holmås (SV),HEH
10,Heikki Eidsvoll Holmås (SV),HEH
11,Heikki Eidsvoll Holmås (SV),HEH
12,Heikki Eidsvoll Holmås (SV),HEH
13,Heikki Eidsvoll Holmås (SV),HEH
14,Heikki Eidsvoll Holmås (SV),HEH
15,Heikki Eidsvoll Holmås (SV),HEH
16,Heikki Eidsvoll Holmås (SV),HEH
17,Heikki Eidsvoll Holmås (SV),HEH
18,Heikki Eidsvoll Holmås (SV),HEH
19,Heikki Eidsvoll Holmås (SV),HEH
20,Heikki Eidsvoll Holmås (SV),HEH
21,Heikki Eidsvoll Holmås (SV),HEH
22,Heikki Eidsvoll Holmås (SV),HEH
23,Heikki Eidsvoll Holmås (SV),HEH
24,Heikki Eidsvoll Holmås (SV),HEH
25,Heikki Eidsvoll Holmås (SV),HEH
26,Heikki Eidsvoll Holmås (SV),HEH
27,Heikki Eidsvoll Holmås (SV),HEH
28,Heikki Eidsvoll Holmås (SV),HEH
29,Heikki Eidsvoll Holmås (SV),HEH
30,Heikki Eidsvoll Holmås (SV),HEH
31,Heikki Eidsvoll Holmås (SV),HEH
32,Heikki Eidsvoll Holmås (SV),HEH
33,Heikki Eidsvoll Holmås (SV),HEH
34,Siri A. Meling (H),SME
35,Siri A. Meling (H),SME
36,Siri A. Meling (H),SME
37,Siri A. Meling (H),SME
38,Siri A. Meling (H),SME
39,Siri A. Meling (H),SME
40,Siri A. Meling (H),SME
41,Siri A. Meling (H),SME
42,Siri A. Meling (H),SME
43,Vidar Bjørnstad (A),VB
44,Vidar Bjørnstad (A),VB
45,Vidar Bjørnstad (A),VB
46,Vidar Bjørnstad (A),VB
47,Akthtar Chaudry,AC
48,Akthtar Chaudry,AC
49,Akthtar Chaudry,AC
50,Bernt Egil Torp (A),BTO
51,Bernt Egil Torp (A),BTO
52,Bernt Egil Torp (A),BTO
53,Bernt Egil Torp (A),BTO
54,Ruth Grung (A),RUG
55,Ruth Grung (A),RUG
56,Ruth Grung (A),RUG
57,Ruth Grung (A),RUG
58,Ruth Grung (A),RUG
59,Ruth Grung (A),RUG
60,Ruth Grung (A),RUG
61,Ruth Grung (A),RUG
62,Ruth Grung (A),RUG
63,Aksel Hagen (SV),AKSH
64,Aksel Hagen (SV),AKSH
65,Aksel Hagen (SV),AKSH
66,Aksel Hagen (SV),AKSH
67,Gunnar Gundersen (H),GAG
68,Gunnar Gundersen (H),GOG
69,Gunnar Gundersen (H),GAG
70,Gunnar Gundersen (H),GOG
71,Gunnar Gundersen (H),GAG
72,Gunnar Gundersen (H),GOG
73,Gunnar Gundersen (H),GAG
74,Gunnar Gundersen (H),GOG
75,Gunnar Gundersen (H),GAG
76,Gunnar Gundersen (H),GOG
77,Gunnar Gundersen (H),GAG
78,Gunnar Gundersen (H),GOG
79,Gunnar Gundersen (H),GAG
80,Gunnar Gundersen (H),GOG
81,Gunnar Gundersen (H),GAG
82,Gunnar Gundersen (H),GOG
83,Gunnar Gundersen (H),GAG
84,Gunnar Gundersen (H),GOG
85,Marie Brekke (KrF),MBRE
86,Marie Brekke (KrF),MBRE
87,Marie Brekke (KrF),MBRE
88,Marie Brekke (KrF),MBRE
89,Marie Brekke (KrF),MBRE
90,Marie Brekke (KrF),MBRE
91,Marie Brekke (KrF),MBRE
92,Marie Brekke (KrF),MBRE
93,Marie Brekke (KrF),MBRE
94,Willfred Nordlund (Sp),WN
95,Willfred Nordlund (Sp),WN
96,Willfred Nordlund (Sp),WN
97,Willfred Nordlund (Sp),WN
98,Karin Andersen (SV),KAAN
99,Karin Andersen (SV),KAAN
100,Karin Andersen (SV),KAAN
101,Karin Andersen (SV),KAAN
102,Karin Andersen (SV),KAAN
103,Karin Andersen (SV),KAAN
104,Karin Andersen (SV),KAAN
105,Karin Andersen (SV),KAAN
106,Karin Andersen (SV),KAAN
107,Statsråd Lars Peder Brekk,LAPB
108,Statsråd Lars Peder Brekk,LAPB
109,Statsråd Lars Peder Brekk,LAPB
110,Statsråd Lars Peder Brekk,LAPB
111,Statsråd Lars Peder Brekk,LAPB
112,Statsråd Lars Peder Brekk,LAPB
113,Statsråd Lars Peder Brekk,LAPB
114,Statsråd Lars Peder Brekk,LAPB
115,Statsråd Lars Peder Brekk,LAPB
116,Tore Nordtun (A),TON
117,Tore Nordtun (A),TON
118,Tore Nordtun (A),TON
119,Tore Nordtun (A),TON
120,Karin Yrvin (A) (A),KY
121,Karin Yrvin (A) (A),KY
122,Karin Yrvin (A) (A),KY
123,Karin Yrvin (A) (A),KY
124,Karin Yrvin (A) (A),KY
125,Karin Yrvin (A) (A),KY
126,Karin Yrvin (A) (A),KY
127,Karin Yrvin (A) (A),KY
128,Karin Yrvin (A) (A),KY
129,Solveig Horne (FrP),SHK
130,Solveig Horne (FrP),SHK
131,Solveig Horne (FrP),SHK
132,Solveig Horne (FrP),SHK
133,Solveig Horne (FrP),SHK
134,Solveig Horne (FrP),SHK
135,Solveig Horne (FrP),SHK
136,Solveig Horne (FrP),SHK
137,Solveig Horne (FrP),SHK
138,Per Rune Henriksen (A),PRH
139,Per Rune Henriksen (A),PRH
140,Per Rune Henriksen (A),PRH
141,Per Rune Henriksen (A),PRH
142,Afshan Rafiq (H),AR
143,Afshan Rafiq (H),AR
144,Afshan Rafiq (H),AR
145,Afshan Rafiq (H),AR
146,Tove Lill Labahå Magga (A),TLM
147,Tove Lill Labahå Magga (A),TLM
148,Tove Lill Labahå Magga (A),TLM
149,Eirin Faldet  (A)V,ESF
150,Eirin Faldet  (A)V,ESF
151,Eirin Faldet  (A)V,ESF
152,Knut Storberget (A),KNUS
153,Knut Storberget (A),KNUS
154,Knut Storberget (A),KNUS
155,Knut Storberget (A),KNUS
156,Knut Storberget (A),KNUS
157,Knut Storberget (A),KNUS
158,Knut Storberget (A),KNUS
159,Knut Storberget (A),KNUS
160,Knut Storberget (A),KNUS
161,Kåre Fostervold (Frp),KFOS
162,Kåre Fostervold (Frp),KFOS
163,Kåre Fostervold (Frp),KFOS
164,Kåre Fostervold (Frp),KFOS
165,Kåre Fostervold (Frp),KFOS
166,Kåre Fostervold (Frp),KFOS
167,Kåre Fostervold (Frp),KFOS
168,Kåre Fostervold (Frp),KFOS
169,Kåre Fostervold (Frp),KFOS
170,Kåre Fostervold (Frp),KFOS
171,Kåre Fostervold (Frp),KFOS
172,Kåre Fostervold (Frp),KFOS
173,Kåre Fostervold (Frp),KFOS
