id,name
OLET,Olemic Thommesen (H)
LHH,Line Henriette Holten Hjemdal (KrF)
KBO,Karita Bekkemellem Orheim (A)
EBO,Else-May Botten (A)
AC,Akhtar Chaudry
ISC,Ingjerd Schau
SOM,Sonja Mandt-Bartholsen (A)
AAST,Arild Stokkan-Grande (A)
HML,Hilde Magnusson Lydvo (A)
ASC,Åse M. Schmidt (FrP)
HABS,Statsråd Hanne Inger Bjurstrøm
IME,Ine Marie Eriksen (H)
UE,Urula Evje (Frp)
TJ,Torbjørn Jagland
CIH,Carl. I. Hagen (FrP)
BB,Berit Brørby Larsen (A)
ALYS,Anders Bjørlo Lysbakken (SV)
AEL,Anne Enger Lahnstein (Sp)
SIE,Silja Ekeland (H)
ANA,Andersen Anundsen (FrP)
SONS,Sona Irene Sjøli (H)
LCH,Linda Cathrine Hofstad (H)
OAS,Oddbjørn Ausdal Starrfelt (A)
AUAU,Statsråd Aud-Inger Aure
FBJ,Frank Bakke Jensen (H)
HMS,Hill Marta Solberg (A)
EVNI,Eva M. Nilsen (A)
HDH,Hanne Dyveke Søttar Hagen (Frp)
INGS,Ingebrigt. S. Sørfonn (KrF)
ON,Oddvar Nilsen (H)
MHG,May Helen Molvær Grimstad (KrF)
PTA,Per Willy Amundsen (FrP)
KETS,Ketil Solvik Olsen (FrP)
MAAA,Marianne Aasen Agdestein (A)
ALJ,Anne Ljunggren (A)
TAS,Tor Arne Strøm (A)
BSO,Bjørn Sturla Hovden (FrP)
ØYVH,Øivind Halleraker
KMB,Satsminister Kjell Magne Bondevik
HSL,Helge Solum Larsen (V)
HVH,Representanten Harald Victor Hove (H)
KLH,Inger Lise Holmberg
LIR,Lisbeth Rugtvedt (SV)
ANS,Statsråd Anne Grete Strøm Erichsen
JF,Jan Henrik Fredriksen (FrP)
PB,Per-Roar Bredvold (FrP)
PKF,"Per-Kristian Foss Presidenten: Klokken er 12.02.17, og statsråden er nå til stede. Stortingets møte er lovlig satt."
PES,Per Sandberg (FrP) –
JULC,Julie Christensen (H)
TOSO,Statsråd Torhild Skogsholm
ESF,Eirin Faldet  (A)V
PES,Per Sandberg FrP
KSP,Statsråd Karl-Eirik Schjøtt-Pedersen
AWN,Åse Wisløff Nilsen (KrF)
ANS,Statsråd Anne Grete Strøm-Erichsen
ANS,Statsråd Anne-Grete Strøm- Erichsen
TEHO,Trond Erik Hovind (Sp)
KJU,Kjell Idar Juvik (A)
RE,Robert Erikson (Frp)
VKG,Vidgis Giltun (FrP)
CT,Christian Tybring Gjedde (FrP)
ASK,smund Kristoffersen
HBL,Håkon Blankenborg (A)
JSA,Jahn Sahl (KrF)
GJH,Gjermund Hageseter (FrP)
ASKH,Åshild Karoline Haugland (FrP)
SBK,Synnøve Brenden Klemetrud (A)
FKM,Finn-Kristian Marthinsen (KrF)
RUI,Ann Helen Rui (A)
KJEB,Ketil Bjørklund (SV)
VK,"Forslag nr. 2, fra Fremskrittspartiet og representanten Vidar Kleppe, lyder"
KKG,Kirsti Kolle Grøndah
ADV,Gunhild Woie Duesund (A)
MUK,Madussar Kapur (H)
OLGB,Gunnar Ballo (SV)
SOM,Sonja Mandt Bartholsen (A)
RHRE,Rolf Reikvam SV
KHJ,Kjell Håvard Jensen (FrP)
INS,Inger Stolt Nielsen (H)
KAO,Kari Økland (KrF) Je
HHL,Hallgeir H. Langland (SV)
JIA,John I. Alveim (Frp)
RUI,Anne Helen Rui (A) J
KES,Kenneth Sivertsen
PEOW,Per Ove Width (Frp) R
TLM,Tove Lill Labahå Magga (A)
FKM,Finn Kristian Martinsen (KrF)
MHO,Maria Hoff (FrP)
JAE,Jan-Arild Ellingsen (FrP)
INS,Inger Stolt-Nielsen (H) …
RHRE,Rolv Reikvam (SV)
AC,Akthtar Chaudry
ESO,Eli Sollied Øverås (Sp)
FRB,Fredrik Bjørnebekk (A)
JIA,John. I. Alvheim (Frp)
STAR,Shabaz Tariq (A)
DTA,Dag Terje Andresen
KSWE,Karl Anton Swensen (Kp)
VP,Veronica Pedersen (FrP)
OYK,Øivind Korsberg (FrP)
FR,Freddy de Reuiter (A)
RNA,Regina Aleksandrova (H)
REIG,Reidun Gravdal (A)
KETK,Kjetil Kjenseth (V)
GKV,Gunnar Kvassheim (V
TMI,Torgeir Michaelsen (A)
HGR,Statsråd Heide Grande Røys
ODG,Ola. D. Gløtvold (Sp)
UTS,Unn Therese O. Sørensen (A)
JL,Jon Lilletun (KrF) V
FFG,Fritdtjof Frank Gundersen (Frp)
ON,Oddvard Nielsen (H)
IMT,Statsråd Inge Marte Thorkildsen
PETL,Peter Løvik (H)
MAGR,Mange Rommetveit (A)
INK,Ingrid Kjerkol (A)
EOS,Olav Einar Skogholt (A)
IM,Inge Myrvoll SV
OLGB,Ole Gunnar Ballo (SV)
KKG,Stortingspresident Kristi Kolle Grøndahl
AWE,Anders B. Werp H
KSP,Karl Eirik Schjøtt-Pedersen (A) …
TSG,Trine Skei-Grande (V)
UAA,Unn Aaarrestad (Sp)
JJJ,Johan J. Jakobsen. (Sp)
HFJ,Hilde Frafjord Johnson (KrF) Noe
TWI,Statsråd Torhild Widvey
JR,Jorun Ringstad (Sp)
HFJ,Statsråd Hilde Frafjord Johnsen
KRCL,Statsråd Kristen Clemet
NA,Nikolai Astrup (H)
