who,lang,text
,nno,23959
,nob,170746
AAST,nob,1
ABA,nno,7
ABA,nob,49
ABIR,nob,2
AC,nno,52
AC,nob,1065
ADV,nob,1
AGV,nno,122
AGV,nob,1470
ALYS,nob,1
ANA,nno,6
ANA,nob,97
ARK,nob,1
ASAE,nno,106
ASAE,nob,4
ASK,nno,28
ASK,nob,409
AUB,nno,2
AUB,nob,73
BB,nno,57
BB,nob,1029
BENH,nob,2
BHH,nno,4
BHH,nob,61
BJH,nob,1
BTG,nob,1
CIH,nno,74
CIH,nob,1354
DAGS,nob,1
DH,nno,20
DH,nob,417
DTA,nno,182
DTA,nob,4148
ED,nob,2
EIS,nob,2
ELN,nno,14
ELN,nob,59
ELSK,nob,34
ESF,nno,197
ESF,nob,2511
EVH,nno,105
EVH,nob,1797
FFG,nob,1
FKM,nob,1
FMV,nno,21
FMV,nob,200
GBR,nno,63
GBR,nob,670
GEHN,nno,53
GEHN,nob,488
GGF,nob,1
GHA,nob,11
GME,nob,1
GR,nob,2
GRF,nno,6
GRF,nob,23
GS,nno,33
GS,nob,864
GUO,nno,32
GUO,nob,260
HAFA,nno,9
HAFA,nob,200
HEH,nno,1
HEH,nob,21
HEIG,nno,8
HEIG,nob,76
HGR,nno,155
HGR,nob,6
HHL,nno,1
HJR,nno,91
HJR,nob,1395
HLI,nno,7
HLI,nob,126
HOSY,nob,1
IME,nob,1
IMT,nob,1
INF,nno,158
INF,nob,42
INL,nno,95
INL,nob,1671
ISC,nno,125
ISC,nob,2149
JGD,nno,15
JH,nno,13
JH,nob,1
JK,nno,325
JK,nob,3736
JL,nno,9
JR,nno,541
JR,nob,92
KAAN,nob,1
KARH,nno,17
KARH,nob,400
KE,nno,79
KE,nob,691
KES,nno,110
KES,nob,2101
KETK,nob,1
KETS,nob,1
KKD,nob,1
KKG,eng,1
KKG,nno,108
KKG,nob,2099
KKK,nno,1
KKK,nob,27
KLH,nno,41
KLH,nob,636
KNAH,nno,1
KSP,nob,2
LD,nno,10
LD,nob,298
LEK,nob,13
LIC,nno,3
LIC,nob,60
LOSO,nno,1429
LOSO,nob,111
MAGR,nno,1336
MAGR,nob,186
MASG,nno,108
MASG,nob,821
MHG,nno,1
ML,nno,2
ML,nob,92
MMK,nno,5
MMK,nob,1
MN,nno,223
MN,nob,4010
MOW,nno,150
MOW,nob,2517
