,who,lang,text
ParlaMint-NO_2014-15_141215.ud5e2304,KES,nob,"['Replikkordskiftet er omme.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2014-15_141215.ud5e2400,KES,nob,"['Etter ønske fra arbeids- og sosialkomiteen vil presidenten foreslå at debatten blir begrenset til 1 time og 10 minutter, og at taletiden blir fordelt slik på gruppene:', 'Arbeiderpartiet 20 minutter, Høyre 15 minutter, Fremskrittspartiet 10 minutter, Kristelig Folkeparti 5 minutter, Senterpartiet 5 minutter, Venstre 5 minutter, Sosialistisk Venstreparti 5 minutter og Miljøpartiet De Grønne 5 minutter.', 'Videre vil presidenten foreslå at det blir gitt anledning til replikkordskifte på inntil tre replikker med svar etter innlegg fra hovedtalerne for hver partigruppe og fem replikker med svar etter innlegg fra medlemmer av regjeringen innenfor den fordelte taletid.', 'Videre blir det foreslått at de som tegner seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2014-15_141215.ud5e2526,KES,nob,"['Representanten Dag Terje Andersen har tatt opp det forslaget han refererte til.', 'Det blir replikkordskifte.']"
ParlaMint-NO_2014-15_141215.ud5e2728,KES,nob,"['Representanten Per Olaf Lundteigen har tatt opp de forslagene han refererte til.', 'Det blir replikkordskifte.']"
ParlaMint-NO_2006-07_070306.ud17e505,KES,nob,['Representanten Line Henriette Holten Hjemdal har tatt opp det forslaget hun selv refererte til.']
ParlaMint-NO_2006-07_070306.ud17e620,KES,nob,"['Replikkordskiftet er avsluttet.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2006-07_070306.ud17e773,KES,nob,"['Etter ønske fra energi- og miljøkomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hvert parti og 5 minutter til statsråden.', 'Videre vil presidenten foreslå at det blir gitt anledning til tre replikker med svar etter innlegg fra medlemmer av Regjeringen – innenfor den fordelte taletid.', 'Videre foreslår presidenten at de som tegner seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2006-07_070306.ud17e1875,KES,nob,"['Replikkordskiftet er omme.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2006-07_070306.ud17e1930,KES,nob,"['Etter ønske fra helse- og omsorgskomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hvert parti og 5 minutter til statsråden.', 'Videre vil presidenten foreslå at det blir gitt anledning til tre replikker med svar etter innlegg fra medlemmer av Regjeringen innenfor den fordelte taletid.', 'Videre foreslår presidenten at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Dette anses vedtatt.']"
ParlaMint-NO_2006-07_070306.ud17e1988,KES,nob,['Representanten Vigdis Giltun har tatt opp det forslaget hun refererte til.']
ParlaMint-NO_2006-07_070306.ud17e2106,KES,nob,"['Flere har ikke bedt om ordet til replikk.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2006-07_070306.ud17e2155,KES,nob,"['Etter ønske fra helse- og omsorgskomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hvert parti og 5 minutter til statsråden.', 'Videre vil presidenten foreslå at det blir gitt anledning til tre replikker med svar etter innlegg fra medlemmer av Regjeringen – innenfor den fordelte taletid.', 'Videre blir det foreslått at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2006-07_070306.ud17e2190,KES,nob,"['Den reglementsmessige tiden for formiddagsmøtet er straks omme. Presidenten vil foreslå at møtet nå heves, og at nytt møte settes igjen kl. 18.', '– Det anses vedtatt.']"
ParlaMint-NO_2006-07_070320-2.ud46e99,KES,nob,"['Flere har ikke bedt om ordet til replikk.', 'De talere som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2006-07_070320-2.ud46e159,KES,nno,['Stortinget går til votering i sakene nr. 1–7 på dagens kart.']
