id,source
ParlaMint-NO_2007-06-07-lower,o070607
ParlaMint-NO_2007-03-20,s070320
ParlaMint-NO_2007-04-26-lower,o070426
ParlaMint-NO_2007-03-26-2,s070326k
ParlaMint-NO_2006-12-12,s061212
ParlaMint-NO_2007-04-17-lower,o070417
ParlaMint-NO_2006-12-19-upper,l061219
ParlaMint-NO_2006-12-07-2,s061207k
ParlaMint-NO_2007-02-13,s070213
ParlaMint-NO_2007-06-19,s070619
ParlaMint-NO_2007-05-14,s070514
ParlaMint-NO_2007-04-16-2,s070416k
ParlaMint-NO_2007-05-08-lower,o070508
ParlaMint-NO_2007-03-06-lower,o070306
ParlaMint-NO_2007-04-26,s070426
ParlaMint-NO_2006-11-21,s061121
ParlaMint-NO_2006-11-23,s061123
ParlaMint-NO_2007-05-15,s070515
ParlaMint-NO_2006-10-02-upper,l061002
ParlaMint-NO_2007-03-29-2,s070329k
ParlaMint-NO_2006-10-19,s061019
ParlaMint-NO_2006-12-18,s061218
ParlaMint-NO_2007-03-29-upper,l070329
ParlaMint-NO_2006-12-12-2,s061212k
ParlaMint-NO_2007-06-01,s070601
ParlaMint-NO_2006-11-08,s061108
ParlaMint-NO_2007-05-15-2,s070515k
ParlaMint-NO_2007-03-26,s070326
ParlaMint-NO_2007-01-10,s070110
ParlaMint-NO_2007-01-16,s070116
ParlaMint-NO_2006-12-13-upper,l061213
ParlaMint-NO_2006-12-11-2,s061211k
ParlaMint-NO_2006-11-15,s061115
ParlaMint-NO_2006-12-06-2,s061206k
ParlaMint-NO_2007-05-25-lower,o070525
ParlaMint-NO_2006-11-07,s061107
ParlaMint-NO_2006-12-01-lower,o061201
ParlaMint-NO_2006-12-07,s061207
ParlaMint-NO_2006-10-24-2,s061024k
ParlaMint-NO_2006-12-04,s061204
ParlaMint-NO_2007-03-09,s070309
ParlaMint-NO_2007-05-30,s070530
ParlaMint-NO_2007-06-12-2,s070612k
ParlaMint-NO_2006-10-26-upper,l061026
ParlaMint-NO_2007-02-13-lower,o070213
ParlaMint-NO_2007-05-08-upper,l070508
ParlaMint-NO_2006-10-02-lower,o061002
ParlaMint-NO_2007-03-21,s070321
ParlaMint-NO_2007-05-09,s070509
ParlaMint-NO_2006-10-26,s061026
ParlaMint-NO_2007-06-04,s070604
ParlaMint-NO_2007-06-13,s070613
ParlaMint-NO_2006-10-09,s061009
ParlaMint-NO_2007-05-10-lower,o070510
ParlaMint-NO_2007-01-17,s070117
ParlaMint-NO_2006-12-07-upper,l061207
ParlaMint-NO_2006-10-24-lower,o061024
ParlaMint-NO_2006-12-19,s061219
ParlaMint-NO_2007-05-08,s070508
ParlaMint-NO_2007-06-11,s070611
ParlaMint-NO_2006-10-24,s061024
ParlaMint-NO_2007-05-15-lower,o070515
ParlaMint-NO_2006-12-19-lower,o061219
ParlaMint-NO_2007-03-19,s070319
ParlaMint-NO_2007-02-07,s070207
ParlaMint-NO_2007-06-11-2,s070611k
ParlaMint-NO_2007-01-11-lower,o070111
ParlaMint-NO_2007-06-01-lower,o070601
ParlaMint-NO_2007-06-14-2,s070614k
ParlaMint-NO_2006-11-30,s061130
ParlaMint-NO_2007-05-31-upper,l070531
ParlaMint-NO_2006-11-23-lower,o061123
ParlaMint-NO_2007-06-04-lower,o070604
ParlaMint-NO_2007-06-22-upper,l070622
ParlaMint-NO_2006-11-28-2,s061128k
ParlaMint-NO_2006-11-30-lower,o061130
ParlaMint-NO_2007-06-19-lower,o070619
ParlaMint-NO_2007-05-22-lower,o070522
ParlaMint-NO_2007-03-20-lower,o070320
ParlaMint-NO_2007-03-27,s070327
ParlaMint-NO_2007-06-12-upper,l070612
ParlaMint-NO_2006-12-13-lower,o061213
ParlaMint-NO_2006-10-03,s061003
ParlaMint-NO_2007-04-17,s070417
ParlaMint-NO_2007-01-31,s070131
ParlaMint-NO_2006-12-04-2,s061204k
ParlaMint-NO_2006-12-15-lower,o061215
ParlaMint-NO_2007-05-22,s070522
ParlaMint-NO_2007-06-05-lower,o070605
ParlaMint-NO_2007-09-28-lower,o070928
ParlaMint-NO_2007-02-14,s070214
ParlaMint-NO_2006-10-05,s061005
